"months_loan_duration","credit_status","purpose","amount","employment_length","personal_status","residence_history","age","housing","existing_credits"
6,"critical","radio/tv",1169,"> 7 yrs","single male",4,67,"own",2
48,"repaid","radio/tv",5951,"1 - 4 yrs","female",2,22,"own",1
12,"critical","education",2096,"4 - 7 yrs","single male",3,49,"own",1
42,"repaid","furniture",7882,"4 - 7 yrs","single male",4,45,"for free",1
24,"delayed","car (new)",4870,"1 - 4 yrs","single male",4,53,"for free",2
36,"repaid","education",9055,"1 - 4 yrs","single male",4,35,"for free",1
24,"repaid","furniture",2835,"> 7 yrs","single male",4,53,"own",1
36,"repaid","car (used)",6948,"1 - 4 yrs","single male",2,35,"rent",1
12,"repaid","radio/tv",3059,"4 - 7 yrs","divorced male",4,61,"own",1
30,"critical","car (new)",5234,"unemployed","married male",2,28,"own",2
12,"repaid","car (new)",1295,"0 - 1 yrs","female",1,25,"rent",1
48,"repaid","business",4308,"0 - 1 yrs","female",4,24,"rent",1
12,"repaid","radio/tv",1567,"1 - 4 yrs","female",1,22,"own",1
24,"critical","car (new)",1199,"> 7 yrs","single male",4,60,"own",2
15,"repaid","car (new)",1403,"1 - 4 yrs","female",4,28,"rent",1
24,"repaid","radio/tv",1282,"1 - 4 yrs","female",2,32,"own",1
24,"critical","radio/tv",2424,"> 7 yrs","single male",4,53,"own",2
30,"fully repaid","business",8072,"0 - 1 yrs","single male",3,25,"own",3
24,"repaid","car (used)",12579,"> 7 yrs","female",2,44,"for free",1
24,"repaid","radio/tv",3430,"> 7 yrs","single male",2,31,"own",1
9,"critical","car (new)",2134,"1 - 4 yrs","single male",4,48,"own",3
6,"repaid","radio/tv",2647,"1 - 4 yrs","single male",3,44,"rent",1
10,"critical","car (new)",2241,"0 - 1 yrs","single male",3,48,"rent",2
12,"critical","car (used)",1804,"0 - 1 yrs","single male",4,44,"own",1
10,"critical","furniture",2069,"1 - 4 yrs","married male",1,26,"own",2
6,"repaid","furniture",1374,"1 - 4 yrs","single male",2,36,"own",1
6,"fully repaid","radio/tv",426,"> 7 yrs","married male",4,39,"own",1
12,"fully repaid","radio/tv",409,"1 - 4 yrs","female",3,42,"rent",2
7,"repaid","radio/tv",2415,"1 - 4 yrs","single male",2,34,"own",1
60,"delayed","business",6836,"> 7 yrs","single male",4,63,"own",2
18,"repaid","business",1913,"0 - 1 yrs","married male",3,36,"own",1
24,"repaid","furniture",4020,"1 - 4 yrs","single male",2,27,"own",1
18,"repaid","car (new)",5866,"1 - 4 yrs","single male",2,30,"own",2
12,"critical","business",1264,"> 7 yrs","single male",4,57,"rent",1
12,"repaid","furniture",1474,"0 - 1 yrs","female",1,33,"own",1
45,"critical","radio/tv",4746,"0 - 1 yrs","single male",2,25,"own",2
48,"critical","education",6110,"1 - 4 yrs","single male",3,31,"for free",1
18,"repaid","radio/tv",2100,"1 - 4 yrs","single male",2,37,"own",1
10,"repaid","domestic appliances",1225,"1 - 4 yrs","single male",2,37,"own",1
9,"repaid","radio/tv",458,"1 - 4 yrs","single male",3,24,"own",1
30,"repaid","radio/tv",2333,"> 7 yrs","single male",2,30,"own",1
12,"repaid","radio/tv",1158,"1 - 4 yrs","divorced male",1,26,"own",1
18,"delayed","repairs",6204,"1 - 4 yrs","single male",4,44,"own",1
30,"critical","car (used)",6187,"4 - 7 yrs","married male",4,24,"rent",2
48,"critical","car (used)",6143,"> 7 yrs","female",4,58,"for free",2
11,"critical","car (new)",1393,"0 - 1 yrs","female",4,35,"own",2
36,"repaid","radio/tv",2299,"> 7 yrs","single male",4,39,"own",1
6,"repaid","car (used)",1352,"unemployed","female",2,23,"rent",1
11,"critical","car (new)",7228,"1 - 4 yrs","single male",4,39,"own",2
12,"repaid","radio/tv",2073,"1 - 4 yrs","female",2,28,"own",1
24,"delayed","furniture",2333,"0 - 1 yrs","single male",2,29,"own",1
27,"delayed","car (used)",5965,"> 7 yrs","single male",2,30,"own",2
12,"repaid","radio/tv",1262,"1 - 4 yrs","single male",2,25,"own",1
18,"repaid","car (used)",3378,"1 - 4 yrs","single male",1,31,"own",1
36,"delayed","car (new)",2225,"> 7 yrs","single male",4,57,"for free",2
6,"fully repaid","car (new)",783,"1 - 4 yrs","single male",2,26,"own",1
12,"repaid","radio/tv",6468,"unemployed","single male",1,52,"own",1
36,"critical","radio/tv",9566,"1 - 4 yrs","female",2,31,"own",2
18,"repaid","car (new)",1961,"> 7 yrs","female",2,23,"own",1
36,"critical","furniture",6229,"0 - 1 yrs","female",4,23,"rent",2
9,"repaid","business",1391,"1 - 4 yrs","married male",1,27,"own",1
15,"critical","radio/tv",1537,"> 7 yrs","single male",4,50,"own",2
36,"fully repaid","business",1953,"> 7 yrs","single male",4,61,"for free",1
48,"fully repaid","business",14421,"1 - 4 yrs","single male",2,25,"own",1
24,"repaid","radio/tv",3181,"0 - 1 yrs","female",4,26,"own",1
27,"repaid","repairs",5190,"> 7 yrs","single male",4,48,"own",4
12,"repaid","radio/tv",2171,"0 - 1 yrs","female",2,29,"own",1
12,"repaid","car (new)",1007,"1 - 4 yrs","married male",1,22,"own",1
36,"repaid","education",1819,"1 - 4 yrs","single male",4,37,"for free",1
36,"repaid","radio/tv",2394,"1 - 4 yrs","female",4,25,"own",1
36,"repaid","car (used)",8133,"1 - 4 yrs","female",2,30,"own",1
7,"critical","radio/tv",730,"> 7 yrs","single male",2,46,"rent",2
8,"critical","others",1164,"> 7 yrs","single male",4,51,"for free",2
42,"critical","business",5954,"4 - 7 yrs","female",1,41,"own",2
36,"repaid","education",1977,"> 7 yrs","single male",4,40,"own",1
12,"critical","car (used)",1526,"> 7 yrs","single male",4,66,"for free",2
42,"repaid","radio/tv",3965,"0 - 1 yrs","single male",3,34,"own",1
11,"delayed","radio/tv",4771,"4 - 7 yrs","single male",4,51,"own",1
54,"fully repaid","car (used)",9436,"1 - 4 yrs","single male",2,39,"own",1
30,"repaid","furniture",3832,"0 - 1 yrs","married male",1,22,"own",1
24,"repaid","radio/tv",5943,"0 - 1 yrs","female",1,44,"own",2
15,"repaid","radio/tv",1213,"> 7 yrs","single male",3,47,"own",1
18,"repaid","business",1568,"1 - 4 yrs","female",4,24,"rent",1
24,"repaid","others",1755,"> 7 yrs","female",4,58,"own",1
10,"repaid","radio/tv",2315,"> 7 yrs","single male",4,52,"own",1
12,"critical","business",1412,"1 - 4 yrs","female",2,29,"own",2
18,"critical","furniture",1295,"0 - 1 yrs","female",1,27,"own",2
36,"repaid","education",12612,"1 - 4 yrs","single male",4,47,"for free",1
18,"repaid","car (new)",2249,"4 - 7 yrs","single male",3,30,"own",1
12,"fully repaid","repairs",1108,"4 - 7 yrs","single male",3,28,"own",2
12,"critical","radio/tv",618,"> 7 yrs","single male",4,56,"own",1
12,"critical","car (used)",1409,"> 7 yrs","single male",3,54,"own",1
12,"critical","radio/tv",797,"> 7 yrs","female",3,33,"own",1
24,"critical","furniture",3617,"> 7 yrs","single male",4,20,"rent",2
12,"repaid","car (new)",1318,"> 7 yrs","single male",4,54,"own",1
54,"fully repaid","business",15945,"0 - 1 yrs","single male",4,58,"rent",1
12,"critical","education",2012,"4 - 7 yrs","female",2,61,"own",1
18,"repaid","business",2622,"1 - 4 yrs","single male",4,34,"own",1
36,"critical","radio/tv",2337,"> 7 yrs","single male",4,36,"own",1
20,"delayed","car (used)",7057,"4 - 7 yrs","single male",4,36,"rent",2
24,"repaid","car (new)",1469,"> 7 yrs","married male",4,41,"rent",1
36,"repaid","radio/tv",2323,"4 - 7 yrs","single male",4,24,"rent",1
6,"delayed","radio/tv",932,"1 - 4 yrs","female",2,24,"own",1
9,"critical","furniture",1919,"4 - 7 yrs","single male",3,35,"rent",1
12,"repaid","car (used)",2445,"0 - 1 yrs","married male",4,26,"rent",1
24,"critical","others",11938,"1 - 4 yrs","single male",3,39,"own",2
18,"fully repaid","car (new)",6458,"> 7 yrs","single male",4,39,"own",2
12,"repaid","car (new)",6078,"4 - 7 yrs","single male",2,32,"own",1
24,"repaid","furniture",7721,"0 - 1 yrs","female",2,30,"own",1
14,"repaid","business",1410,"> 7 yrs","married male",2,35,"own",1
6,"delayed","business",1449,"> 7 yrs","divorced male",2,31,"own",2
15,"repaid","education",392,"0 - 1 yrs","female",4,23,"rent",1
18,"repaid","car (new)",6260,"4 - 7 yrs","single male",3,28,"rent",1
36,"critical","car (new)",7855,"1 - 4 yrs","female",2,25,"own",2
12,"repaid","radio/tv",1680,"> 7 yrs","married male",1,35,"own",1
48,"critical","radio/tv",3578,"> 7 yrs","single male",1,47,"own",1
42,"repaid","radio/tv",7174,"4 - 7 yrs","female",3,30,"own",1
10,"critical","furniture",2132,"0 - 1 yrs","female",3,27,"rent",2
33,"critical","furniture",4281,"1 - 4 yrs","female",4,23,"own",2
12,"critical","car (new)",2366,"4 - 7 yrs","divorced male",3,36,"own",1
21,"repaid","radio/tv",1835,"1 - 4 yrs","female",2,25,"own",2
24,"critical","car (used)",3868,"> 7 yrs","female",2,41,"rent",2
12,"repaid","furniture",1768,"1 - 4 yrs","single male",2,24,"rent",1
10,"critical","car (new)",781,"> 7 yrs","single male",4,63,"for free",2
18,"repaid","furniture",1924,"0 - 1 yrs","female",3,27,"rent",1
12,"critical","car (new)",2121,"1 - 4 yrs","single male",2,30,"own",2
12,"repaid","radio/tv",701,"1 - 4 yrs","married male",2,40,"own",1
12,"repaid","repairs",639,"1 - 4 yrs","single male",2,30,"own",1
12,"critical","car (used)",1860,"unemployed","single male",2,34,"own",2
12,"critical","car (new)",3499,"1 - 4 yrs","female",2,29,"own",2
48,"repaid","car (new)",8487,"4 - 7 yrs","female",2,24,"own",1
36,"delayed","education",6887,"1 - 4 yrs","single male",3,29,"own",1
15,"repaid","furniture",2708,"0 - 1 yrs","single male",3,27,"own",2
18,"repaid","furniture",1984,"1 - 4 yrs","single male",4,47,"for free",2
60,"repaid","radio/tv",10144,"4 - 7 yrs","female",4,21,"own",1
12,"critical","radio/tv",1240,"> 7 yrs","female",2,38,"own",2
27,"delayed","car (used)",8613,"1 - 4 yrs","single male",2,27,"own",2
12,"repaid","radio/tv",766,"1 - 4 yrs","single male",3,66,"own",1
15,"critical","radio/tv",2728,"4 - 7 yrs","single male",2,35,"own",3
12,"repaid","radio/tv",1881,"1 - 4 yrs","female",2,44,"rent",1
6,"repaid","car (new)",709,"0 - 1 yrs","married male",2,27,"own",1
36,"repaid","radio/tv",4795,"0 - 1 yrs","female",1,30,"own",1
27,"repaid","radio/tv",3416,"1 - 4 yrs","single male",2,27,"own",1
18,"repaid","furniture",2462,"1 - 4 yrs","single male",2,22,"own",1
21,"critical","furniture",2288,"0 - 1 yrs","female",4,23,"own",1
48,"fully repaid","business",3566,"4 - 7 yrs","single male",2,30,"own",1
6,"critical","car (new)",860,"> 7 yrs","female",4,39,"own",2
12,"critical","car (new)",682,"4 - 7 yrs","female",3,51,"own",2
36,"critical","furniture",5371,"1 - 4 yrs","single male",2,28,"own",2
18,"critical","radio/tv",1582,"> 7 yrs","single male",4,46,"own",2
6,"repaid","radio/tv",1346,"> 7 yrs","single male",4,42,"for free",1
10,"repaid","radio/tv",1924,"1 - 4 yrs","single male",4,38,"own",1
36,"repaid","radio/tv",5848,"1 - 4 yrs","single male",1,24,"own",1
24,"critical","car (used)",7758,"> 7 yrs","female",4,29,"rent",1
24,"delayed","business",6967,"4 - 7 yrs","single male",4,36,"rent",1
12,"repaid","furniture",1282,"1 - 4 yrs","female",4,20,"rent",1
9,"critical","repairs",1288,"> 7 yrs","single male",4,48,"own",2
12,"fully repaid","retraining",339,"> 7 yrs","married male",1,45,"own",1
24,"repaid","car (new)",3512,"4 - 7 yrs","single male",3,38,"own",2
6,"critical","radio/tv",1898,"1 - 4 yrs","single male",2,34,"own",2
24,"critical","radio/tv",2872,"> 7 yrs","single male",4,36,"own",1
18,"critical","car (new)",1055,"0 - 1 yrs","female",1,30,"own",2
15,"repaid","domestic appliances",1262,"4 - 7 yrs","single male",3,36,"own",2
10,"repaid","car (new)",7308,"unemployed","single male",4,70,"for free",1
36,"repaid","car (new)",909,"> 7 yrs","single male",4,36,"own",1
6,"repaid","furniture",2978,"1 - 4 yrs","single male",2,32,"own",1
18,"repaid","furniture",1131,"unemployed","female",2,33,"own",1
11,"repaid","furniture",1577,"0 - 1 yrs","female",1,20,"own",1
24,"repaid","furniture",3972,"4 - 7 yrs","female",4,25,"rent",1
24,"critical","business",1935,"> 7 yrs","divorced male",4,31,"own",2
15,"fully repaid","car (new)",950,"> 7 yrs","single male",3,33,"rent",2
12,"repaid","furniture",763,"1 - 4 yrs","female",1,26,"own",1
24,"delayed","furniture",2064,"unemployed","female",2,34,"own",1
8,"repaid","radio/tv",1414,"1 - 4 yrs","single male",2,33,"own",1
21,"delayed","education",3414,"0 - 1 yrs","single male",1,26,"own",2
30,"fully repaid","car (used)",7485,"unemployed","female",1,53,"own",1
12,"repaid","furniture",2577,"1 - 4 yrs","divorced male",1,42,"own",1
6,"critical","radio/tv",338,"> 7 yrs","single male",4,52,"own",2
12,"repaid","radio/tv",1963,"4 - 7 yrs","single male",2,31,"rent",2
21,"critical","car (new)",571,"> 7 yrs","single male",4,65,"own",2
36,"delayed","business",9572,"0 - 1 yrs","divorced male",1,28,"own",2
36,"delayed","business",4455,"1 - 4 yrs","divorced male",2,30,"own",2
21,"fully repaid","car (new)",1647,"1 - 4 yrs","single male",2,40,"own",2
24,"critical","furniture",3777,"1 - 4 yrs","single male",4,50,"own",1
18,"critical","car (new)",884,"> 7 yrs","single male",4,36,"own",1
15,"critical","radio/tv",1360,"1 - 4 yrs","single male",2,31,"own",2
9,"fully repaid","car (used)",5129,"> 7 yrs","female",4,74,"for free",1
16,"critical","car (new)",1175,"unemployed","single male",3,68,"for free",3
12,"repaid","radio/tv",674,"4 - 7 yrs","married male",1,20,"own",1
18,"fully repaid","furniture",3244,"1 - 4 yrs","female",4,33,"own",2
24,"repaid","business",4591,"1 - 4 yrs","single male",3,54,"own",3
48,"fully repaid","business",3844,"4 - 7 yrs","single male",4,34,"for free",1
27,"repaid","business",3915,"1 - 4 yrs","single male",2,36,"own",1
6,"repaid","radio/tv",2108,"4 - 7 yrs","married male",2,29,"rent",1
45,"repaid","radio/tv",3031,"1 - 4 yrs","single male",4,21,"rent",1
9,"critical","education",1501,"> 7 yrs","female",3,34,"own",2
6,"critical","radio/tv",1382,"1 - 4 yrs","female",1,28,"own",2
12,"repaid","furniture",951,"0 - 1 yrs","female",4,27,"rent",4
24,"repaid","car (used)",2760,"> 7 yrs","single male",4,36,"for free",1
18,"delayed","furniture",4297,"> 7 yrs","divorced male",3,40,"own",1
9,"critical","education",936,"> 7 yrs","single male",2,52,"own",2
12,"repaid","car (new)",1168,"1 - 4 yrs","married male",3,27,"own",1
27,"delayed","business",5117,"4 - 7 yrs","single male",4,26,"own",2
12,"repaid","retraining",902,"4 - 7 yrs","married male",4,21,"rent",1
12,"critical","car (new)",1495,"> 7 yrs","single male",1,38,"own",2
30,"critical","car (used)",10623,"> 7 yrs","single male",4,38,"for free",3
12,"critical","furniture",1935,"> 7 yrs","single male",4,43,"own",3
12,"critical","domestic appliances",1424,"4 - 7 yrs","single male",3,26,"own",1
24,"repaid","business",6568,"1 - 4 yrs","married male",2,21,"own",1
12,"repaid","car (used)",1413,"4 - 7 yrs","single male",2,55,"own",1
9,"critical","radio/tv",3074,"1 - 4 yrs","single male",2,33,"own",2
36,"repaid","radio/tv",3835,"> 7 yrs","female",4,45,"own",1
27,"fully repaid","business",5293,"unemployed","single male",4,50,"own",2
30,"delayed","business",1908,"> 7 yrs","single male",4,66,"own",1
36,"critical","radio/tv",3342,"> 7 yrs","single male",2,51,"own",1
6,"critical","retraining",932,"4 - 7 yrs","female",3,39,"own",2
18,"fully repaid","business",3104,"4 - 7 yrs","single male",1,31,"own",1
36,"repaid","radio/tv",3913,"1 - 4 yrs","single male",2,23,"own",1
24,"repaid","furniture",3021,"1 - 4 yrs","divorced male",2,24,"rent",1
10,"repaid","car (new)",1364,"1 - 4 yrs","female",4,64,"own",1
12,"repaid","radio/tv",625,"0 - 1 yrs","married male",1,26,"own",1
12,"repaid","education",1200,"1 - 4 yrs","female",4,23,"rent",1
12,"repaid","radio/tv",707,"1 - 4 yrs","single male",2,30,"own",2
24,"delayed","business",2978,"1 - 4 yrs","single male",4,32,"own",2
15,"repaid","car (used)",4657,"1 - 4 yrs","single male",2,30,"own",1
36,"fully repaid","repairs",2613,"1 - 4 yrs","single male",2,27,"own",2
48,"repaid","radio/tv",10961,"4 - 7 yrs","single male",2,27,"own",2
12,"repaid","furniture",7865,"> 7 yrs","single male",4,53,"for free",1
9,"repaid","radio/tv",1478,"4 - 7 yrs","single male",2,22,"own",1
24,"repaid","furniture",3149,"0 - 1 yrs","single male",1,22,"for free",1
36,"repaid","radio/tv",4210,"1 - 4 yrs","single male",2,26,"own",1
9,"repaid","car (new)",2507,"> 7 yrs","single male",4,51,"for free",1
12,"repaid","radio/tv",2141,"4 - 7 yrs","single male",1,35,"own",1
18,"repaid","radio/tv",866,"1 - 4 yrs","married male",2,25,"own",1
4,"critical","radio/tv",1544,"4 - 7 yrs","single male",1,42,"own",3
24,"repaid","radio/tv",1823,"unemployed","single male",2,30,"own",1
6,"repaid","car (new)",14555,"unemployed","single male",2,23,"own",1
21,"repaid","business",2767,"> 7 yrs","divorced male",2,61,"rent",2
12,"critical","radio/tv",1291,"1 - 4 yrs","female",2,35,"own",2
30,"repaid","radio/tv",2522,"> 7 yrs","single male",3,39,"own",1
24,"repaid","car (new)",915,"> 7 yrs","female",2,29,"own",1
6,"repaid","radio/tv",1595,"4 - 7 yrs","single male",2,51,"own",1
48,"fully repaid","car (used)",4605,"> 7 yrs","single male",4,24,"for free",2
12,"critical","business",1185,"1 - 4 yrs","female",2,27,"own",2
12,"fully repaid","retraining",3447,"1 - 4 yrs","female",3,35,"own",1
24,"repaid","business",1258,"4 - 7 yrs","single male",1,25,"own",1
12,"critical","radio/tv",717,"> 7 yrs","single male",4,52,"own",3
6,"fully repaid","car (new)",1204,"1 - 4 yrs","single male",1,35,"rent",1
24,"repaid","furniture",1925,"1 - 4 yrs","single male",2,26,"own",1
18,"repaid","radio/tv",433,"unemployed","female",4,22,"rent",1
6,"critical","car (new)",666,"4 - 7 yrs","female",4,39,"own",2
12,"repaid","furniture",2251,"1 - 4 yrs","female",2,46,"own",1
30,"repaid","car (new)",2150,"1 - 4 yrs","female",2,24,"own",1
24,"delayed","furniture",4151,"1 - 4 yrs","single male",3,35,"own",2
9,"repaid","furniture",2030,"4 - 7 yrs","single male",1,24,"own",1
60,"delayed","radio/tv",7418,"1 - 4 yrs","single male",1,27,"own",1
24,"critical","radio/tv",2684,"1 - 4 yrs","single male",2,35,"own",2
12,"fully repaid","radio/tv",2149,"1 - 4 yrs","divorced male",1,29,"for free",1
15,"repaid","car (used)",3812,"0 - 1 yrs","female",4,23,"own",1
11,"critical","radio/tv",1154,"unemployed","female",4,57,"own",3
12,"repaid","furniture",1657,"1 - 4 yrs","single male",2,27,"own",1
24,"repaid","radio/tv",1603,"> 7 yrs","female",4,55,"own",1
18,"critical","car (new)",5302,"> 7 yrs","single male",4,36,"for free",3
12,"critical","education",2748,"> 7 yrs","female",4,57,"for free",3
10,"critical","car (new)",1231,"> 7 yrs","single male",4,32,"own",2
15,"repaid","radio/tv",802,"> 7 yrs","single male",3,37,"own",1
36,"critical","business",6304,"> 7 yrs","single male",4,36,"own",2
24,"repaid","radio/tv",1533,"0 - 1 yrs","female",3,38,"own",1
14,"repaid","car (new)",8978,"> 7 yrs","divorced male",4,45,"own",1
24,"repaid","radio/tv",999,"> 7 yrs","single male",2,25,"own",2
18,"repaid","car (new)",2662,"4 - 7 yrs","single male",3,32,"own",1
12,"critical","furniture",1402,"4 - 7 yrs","female",4,37,"rent",1
48,"fully repaid","car (new)",12169,"unemployed","single male",4,36,"for free",1
48,"repaid","radio/tv",3060,"4 - 7 yrs","single male",4,28,"own",2
30,"repaid","repairs",11998,"0 - 1 yrs","divorced male",1,34,"own",1
9,"repaid","radio/tv",2697,"1 - 4 yrs","single male",2,32,"own",1
18,"critical","radio/tv",2404,"1 - 4 yrs","female",2,26,"own",2
12,"repaid","furniture",1262,"> 7 yrs","divorced male",4,49,"own",1
6,"repaid","furniture",4611,"0 - 1 yrs","female",4,32,"own",1
24,"repaid","radio/tv",1901,"1 - 4 yrs","single male",4,29,"rent",1
15,"critical","car (used)",3368,"> 7 yrs","single male",4,23,"rent",2
12,"repaid","furniture",1574,"1 - 4 yrs","single male",2,50,"own",1
18,"fully repaid","radio/tv",1445,"4 - 7 yrs","single male",4,49,"own",1
15,"critical","furniture",1520,"> 7 yrs","single male",4,63,"own",1
24,"critical","car (new)",3878,"0 - 1 yrs","divorced male",2,37,"own",1
47,"repaid","car (new)",10722,"0 - 1 yrs","female",1,35,"own",1
48,"repaid","car (used)",4788,"4 - 7 yrs","single male",3,26,"own",1
48,"delayed","others",7582,"unemployed","single male",4,31,"for free",1
12,"repaid","radio/tv",1092,"1 - 4 yrs","female",4,49,"own",2
24,"delayed","radio/tv",1024,"0 - 1 yrs","married male",4,48,"own",1
12,"repaid","business",1076,"1 - 4 yrs","married male",2,26,"own",1
36,"repaid","car (used)",9398,"0 - 1 yrs","married male",4,28,"rent",1
24,"critical","car (used)",6419,"> 7 yrs","female",4,44,"for free",2
42,"critical","car (used)",4796,"> 7 yrs","single male",4,56,"for free",1
48,"critical","business",7629,"> 7 yrs","divorced male",2,46,"own",2
48,"repaid","furniture",9960,"0 - 1 yrs","female",2,26,"own",1
12,"repaid","car (used)",4675,"0 - 1 yrs","female",4,20,"rent",1
10,"repaid","car (new)",1287,"> 7 yrs","single male",2,45,"own",1
18,"repaid","furniture",2515,"1 - 4 yrs","single male",4,43,"own",1
21,"critical","furniture",2745,"4 - 7 yrs","single male",2,32,"own",2
6,"repaid","car (new)",672,"unemployed","female",4,54,"own",1
36,"fully repaid","radio/tv",3804,"1 - 4 yrs","female",1,42,"own",1
24,"critical","car (new)",1344,"4 - 7 yrs","single male",2,37,"own",2
10,"critical","car (new)",1038,"4 - 7 yrs","single male",3,49,"own",2
48,"critical","car (new)",10127,"1 - 4 yrs","single male",2,44,"for free",1
6,"repaid","furniture",1543,"1 - 4 yrs","divorced male",2,33,"own",1
30,"repaid","car (used)",4811,"4 - 7 yrs","female",4,24,"rent",1
12,"repaid","radio/tv",727,"0 - 1 yrs","married male",3,33,"own",1
8,"repaid","furniture",1237,"1 - 4 yrs","female",4,24,"own",1
9,"repaid","car (new)",276,"1 - 4 yrs","married male",4,22,"rent",1
48,"repaid","others",5381,"unemployed","single male",4,40,"for free",1
24,"repaid","furniture",5511,"1 - 4 yrs","single male",1,25,"own",1
24,"repaid","furniture",3749,"0 - 1 yrs","female",4,26,"own",1
12,"repaid","car (new)",685,"4 - 7 yrs","married male",3,25,"own",1
4,"repaid","car (new)",1494,"0 - 1 yrs","single male",2,29,"own",1
36,"fully repaid","furniture",2746,"> 7 yrs","single male",4,31,"own",1
12,"repaid","furniture",708,"1 - 4 yrs","single male",3,38,"own",1
24,"repaid","furniture",4351,"1 - 4 yrs","female",4,48,"own",1
12,"critical","education",701,"1 - 4 yrs","single male",2,32,"own",2
15,"delayed","furniture",3643,"> 7 yrs","female",4,27,"own",2
30,"critical","car (new)",4249,"unemployed","married male",2,28,"own",2
24,"repaid","radio/tv",1938,"0 - 1 yrs","divorced male",3,32,"own",1
24,"repaid","car (used)",2910,"4 - 7 yrs","single male",1,34,"for free",1
18,"repaid","furniture",2659,"1 - 4 yrs","single male",2,28,"own",1
18,"critical","car (new)",1028,"1 - 4 yrs","female",3,36,"own",2
8,"critical","car (new)",3398,"4 - 7 yrs","single male",4,39,"own",2
12,"critical","furniture",5801,"> 7 yrs","single male",4,49,"rent",1
24,"repaid","car (new)",1525,"4 - 7 yrs","female",3,34,"own",1
36,"repaid","radio/tv",4473,"> 7 yrs","single male",2,31,"own",1
6,"repaid","radio/tv",1068,"> 7 yrs","single male",4,28,"own",1
24,"critical","car (used)",6615,"unemployed","single male",4,75,"for free",2
