"months_loan_duration","credit_status","purpose","amount","employment_length","personal_status","residence_history","age","housing","existing_credits"
18,"critical","education",1864,"1 - 4 yrs","female",2,30,"own",2
60,"repaid","car (new)",7408,"0 - 1 yrs","female",2,24,"own",1
48,"critical","car (used)",11590,"1 - 4 yrs","female",4,24,"rent",2
24,"fully repaid","furniture",4110,"> 7 yrs","single male",4,23,"rent",2
6,"critical","furniture",3384,"1 - 4 yrs","divorced male",4,44,"rent",1
13,"repaid","radio/tv",2101,"0 - 1 yrs","female",4,23,"own",1
15,"repaid","domestic appliances",1275,"1 - 4 yrs","female",2,24,"rent",1
24,"repaid","furniture",4169,"1 - 4 yrs","single male",4,28,"own",1
10,"repaid","furniture",1521,"1 - 4 yrs","divorced male",2,31,"own",1
24,"critical","education",5743,"0 - 1 yrs","female",4,24,"for free",2
21,"repaid","furniture",3599,"4 - 7 yrs","female",4,26,"rent",1
18,"repaid","radio/tv",3213,"0 - 1 yrs","married male",3,25,"rent",1
18,"repaid","business",4439,"> 7 yrs","single male",1,33,"own",1
10,"repaid","car (new)",3949,"0 - 1 yrs","single male",1,37,"own",1
15,"critical","radio/tv",1459,"1 - 4 yrs","female",2,43,"own",1
13,"critical","radio/tv",882,"0 - 1 yrs","single male",4,23,"own",2
24,"repaid","radio/tv",3758,"unemployed","female",4,23,"rent",1
6,"delayed","business",1743,"1 - 4 yrs","single male",2,34,"own",2
9,"critical","education",1136,"> 7 yrs","single male",3,32,"for free",2
9,"repaid","domestic appliances",1236,"0 - 1 yrs","female",4,23,"rent",1
9,"repaid","furniture",959,"1 - 4 yrs","female",2,29,"own",1
18,"critical","car (used)",3229,"unemployed","single male",4,38,"own",1
12,"fully repaid","radio/tv",6199,"1 - 4 yrs","single male",2,28,"rent",2
10,"repaid","education",727,"> 7 yrs","single male",4,46,"for free",1
24,"repaid","car (new)",1246,"0 - 1 yrs","single male",2,23,"own",1
12,"critical","radio/tv",2331,"> 7 yrs","single male",4,49,"own",1
36,"delayed","radio/tv",4463,"1 - 4 yrs","single male",2,26,"own",2
12,"repaid","radio/tv",776,"1 - 4 yrs","married male",2,28,"own",1
30,"repaid","furniture",2406,"4 - 7 yrs","female",4,23,"rent",1
18,"repaid","education",1239,"1 - 4 yrs","single male",4,61,"for free",1
12,"repaid","radio/tv",3399,"> 7 yrs","single male",3,37,"own",1
12,"delayed","car (new)",2247,"1 - 4 yrs","female",2,36,"own",2
6,"repaid","furniture",1766,"1 - 4 yrs","married male",2,21,"rent",1
18,"repaid","furniture",2473,"unemployed","single male",1,25,"own",1
12,"repaid","business",1542,"4 - 7 yrs","single male",4,36,"own",1
18,"critical","car (used)",3850,"4 - 7 yrs","single male",1,27,"own",2
18,"repaid","furniture",3650,"0 - 1 yrs","female",4,22,"rent",1
36,"repaid","furniture",3446,"> 7 yrs","single male",2,42,"own",1
18,"repaid","furniture",3001,"4 - 7 yrs","female",4,40,"rent",1
36,"repaid","car (new)",3079,"1 - 4 yrs","single male",4,36,"own",1
18,"critical","radio/tv",6070,"> 7 yrs","single male",4,33,"own",2
10,"critical","furniture",2146,"0 - 1 yrs","female",3,23,"rent",2
60,"critical","car (new)",13756,"> 7 yrs","single male",4,63,"for free",1
60,"fully repaid","others",14782,"> 7 yrs","female",4,60,"for free",2
48,"fully repaid","business",7685,"4 - 7 yrs","female",4,37,"rent",1
18,"delayed","radio/tv",2320,"unemployed","married male",3,34,"own",2
7,"delayed","radio/tv",846,"> 7 yrs","single male",4,36,"for free",1
36,"repaid","car (new)",14318,"> 7 yrs","single male",2,57,"for free",1
6,"critical","car (new)",362,"1 - 4 yrs","female",4,52,"own",2
20,"repaid","furniture",2212,"4 - 7 yrs","single male",4,39,"own",1
18,"repaid","car (used)",12976,"unemployed","female",4,38,"for free",1
22,"repaid","car (new)",1283,"4 - 7 yrs","female",4,25,"rent",1
12,"repaid","car (new)",1330,"0 - 1 yrs","single male",1,26,"own",1
30,"delayed","business",4272,"1 - 4 yrs","single male",2,26,"own",2
18,"critical","radio/tv",2238,"1 - 4 yrs","female",1,25,"own",2
18,"repaid","radio/tv",1126,"0 - 1 yrs","female",2,21,"rent",1
18,"critical","furniture",7374,"unemployed","single male",4,40,"own",2
15,"critical","business",2326,"1 - 4 yrs","single male",4,27,"own",1
9,"repaid","business",1449,"4 - 7 yrs","female",2,27,"own",2
18,"repaid","car (new)",1820,"1 - 4 yrs","married male",2,30,"own",1
12,"repaid","furniture",983,"0 - 1 yrs","female",4,19,"rent",1
36,"repaid","car (new)",3249,"4 - 7 yrs","single male",4,39,"for free",1
6,"critical","radio/tv",1957,"4 - 7 yrs","female",4,31,"own",1
9,"critical","furniture",2406,"unemployed","single male",3,31,"own",1
39,"delayed","education",11760,"4 - 7 yrs","single male",3,32,"rent",1
12,"repaid","furniture",2578,"unemployed","female",4,55,"for free",1
36,"critical","furniture",2348,"1 - 4 yrs","married male",2,46,"own",2
12,"repaid","car (new)",1223,"> 7 yrs","divorced male",1,46,"rent",2
24,"critical","radio/tv",1516,"1 - 4 yrs","female",1,43,"own",2
18,"repaid","radio/tv",1473,"0 - 1 yrs","married male",4,39,"own",1
18,"critical","business",1887,"1 - 4 yrs","married male",4,28,"own",2
24,"delayed","business",8648,"0 - 1 yrs","single male",2,27,"own",2
14,"delayed","car (new)",802,"1 - 4 yrs","single male",2,27,"own",2
18,"delayed","car (new)",2899,"> 7 yrs","single male",4,43,"own",1
24,"repaid","radio/tv",2039,"0 - 1 yrs","married male",1,22,"own",1
24,"critical","car (used)",2197,"4 - 7 yrs","single male",4,43,"own",2
15,"repaid","radio/tv",1053,"0 - 1 yrs","married male",2,27,"own",1
24,"repaid","radio/tv",3235,"> 7 yrs","divorced male",2,26,"own",1
12,"critical","car (new)",939,"4 - 7 yrs","married male",2,28,"own",3
24,"repaid","radio/tv",1967,"> 7 yrs","female",4,20,"own",1
33,"critical","car (used)",7253,"4 - 7 yrs","single male",2,35,"own",2
12,"critical","business",2292,"unemployed","single male",2,42,"own",2
10,"repaid","car (new)",1597,"1 - 4 yrs","single male",2,40,"rent",1
24,"repaid","car (new)",1381,"1 - 4 yrs","female",2,35,"own",1
36,"critical","car (used)",5842,"> 7 yrs","single male",2,35,"own",2
12,"repaid","car (new)",2579,"0 - 1 yrs","single male",1,33,"own",1
18,"delayed","education",8471,"1 - 4 yrs","female",2,23,"rent",2
21,"repaid","car (new)",2782,"4 - 7 yrs","female",2,31,"own",1
18,"repaid","car (new)",1042,"1 - 4 yrs","female",2,33,"own",1
15,"repaid","car (new)",3186,"4 - 7 yrs","female",3,20,"rent",1
12,"repaid","car (used)",2028,"1 - 4 yrs","single male",2,30,"own",1
12,"critical","car (new)",958,"4 - 7 yrs","single male",3,47,"own",2
21,"delayed","furniture",1591,"4 - 7 yrs","single male",3,34,"own",2
12,"repaid","furniture",2762,"> 7 yrs","female",2,25,"own",1
18,"repaid","car (used)",2779,"1 - 4 yrs","married male",3,21,"rent",1
28,"critical","radio/tv",2743,"> 7 yrs","single male",2,29,"own",2
18,"critical","radio/tv",1149,"1 - 4 yrs","single male",3,46,"own",2
9,"repaid","furniture",1313,"> 7 yrs","single male",4,20,"own",1
18,"critical","repairs",1190,"unemployed","female",4,55,"for free",3
5,"repaid","business",3448,"4 - 7 yrs","single male",4,74,"own",1
24,"repaid","others",11328,"1 - 4 yrs","single male",3,29,"own",2
6,"critical","furniture",1872,"unemployed","single male",4,36,"for free",3
24,"critical","repairs",2058,"1 - 4 yrs","divorced male",2,33,"own",2
9,"repaid","furniture",2136,"1 - 4 yrs","single male",2,25,"own",1
12,"repaid","radio/tv",1484,"1 - 4 yrs","married male",1,25,"own",1
6,"repaid","repairs",660,"4 - 7 yrs","married male",4,23,"rent",1
24,"critical","car (new)",1287,"> 7 yrs","female",4,37,"own",2
42,"critical","repairs",3394,"unemployed","single male",4,65,"own",2
12,"fully repaid","business",609,"0 - 1 yrs","female",1,26,"own",1
12,"repaid","car (new)",1884,"> 7 yrs","single male",4,39,"own",1
12,"repaid","furniture",1620,"1 - 4 yrs","female",3,30,"own",1
20,"delayed","others",2629,"1 - 4 yrs","single male",3,29,"own",2
12,"repaid","education",719,"> 7 yrs","single male",4,41,"own",1
48,"critical","furniture",5096,"1 - 4 yrs","female",3,30,"own",1
9,"critical","education",1244,"> 7 yrs","female",4,41,"rent",2
36,"repaid","car (new)",1842,"0 - 1 yrs","female",4,34,"own",1
7,"repaid","radio/tv",2576,"1 - 4 yrs","single male",2,35,"own",1
12,"repaid","furniture",1424,"> 7 yrs","female",4,55,"own",1
15,"delayed","repairs",1512,"1 - 4 yrs","married male",3,61,"own",2
36,"critical","car (used)",11054,"1 - 4 yrs","single male",2,30,"own",1
6,"repaid","radio/tv",518,"1 - 4 yrs","female",1,29,"own",1
12,"fully repaid","furniture",2759,"> 7 yrs","single male",4,34,"own",2
24,"repaid","car (used)",2670,"> 7 yrs","single male",4,35,"own",1
24,"repaid","car (new)",4817,"4 - 7 yrs","single male",3,31,"own",1
24,"repaid","car (used)",2679,"0 - 1 yrs","female",1,29,"own",1
11,"critical","car (new)",3905,"1 - 4 yrs","single male",2,36,"rent",2
12,"repaid","car (used)",3386,"> 7 yrs","single male",4,35,"for free",1
6,"repaid","domestic appliances",343,"0 - 1 yrs","female",1,27,"own",1
18,"repaid","radio/tv",4594,"0 - 1 yrs","single male",2,32,"own",1
36,"repaid","furniture",3620,"1 - 4 yrs","single male",2,37,"own",1
15,"repaid","car (new)",1721,"0 - 1 yrs","single male",3,36,"own",1
12,"repaid","furniture",3017,"0 - 1 yrs","female",1,34,"rent",1
12,"repaid","retraining",754,"> 7 yrs","single male",4,38,"own",2
18,"repaid","business",1950,"4 - 7 yrs","single male",1,34,"own",2
24,"repaid","car (used)",2924,"1 - 4 yrs","single male",4,63,"own",1
24,"delayed","radio/tv",1659,"0 - 1 yrs","female",2,29,"rent",1
48,"delayed","radio/tv",7238,"> 7 yrs","single male",3,32,"own",2
33,"delayed","business",2764,"1 - 4 yrs","female",2,26,"own",2
24,"delayed","car (used)",4679,"4 - 7 yrs","single male",3,35,"own",2
24,"repaid","radio/tv",3092,"0 - 1 yrs","married male",2,22,"rent",1
6,"repaid","education",448,"0 - 1 yrs","female",4,23,"own",1
9,"repaid","car (new)",654,"1 - 4 yrs","single male",3,28,"own",1
6,"repaid","retraining",1238,"unemployed","single male",4,36,"own",1
18,"critical","radio/tv",1245,"1 - 4 yrs","married male",2,33,"own",1
18,"fully repaid","furniture",3114,"0 - 1 yrs","female",4,26,"rent",1
39,"repaid","car (used)",2569,"1 - 4 yrs","single male",4,24,"own",1
24,"repaid","radio/tv",5152,"4 - 7 yrs","single male",2,25,"own",1
12,"repaid","business",1037,"4 - 7 yrs","single male",4,39,"own",1
15,"critical","furniture",1478,"> 7 yrs","single male",4,44,"own",2
12,"critical","radio/tv",3573,"1 - 4 yrs","female",1,23,"own",1
24,"repaid","car (new)",1201,"0 - 1 yrs","single male",1,26,"own",1
30,"repaid","furniture",3622,"> 7 yrs","female",4,57,"rent",2
15,"delayed","furniture",960,"4 - 7 yrs","female",2,30,"own",2
12,"critical","car (new)",1163,"1 - 4 yrs","single male",4,44,"own",1
6,"delayed","car (new)",1209,"unemployed","single male",4,47,"own",1
12,"repaid","radio/tv",3077,"1 - 4 yrs","single male",4,52,"own",1
24,"repaid","car (new)",3757,"> 7 yrs","female",4,62,"for free",1
10,"repaid","car (new)",1418,"1 - 4 yrs","single male",2,35,"rent",1
6,"repaid","car (new)",3518,"1 - 4 yrs","single male",3,26,"rent",1
12,"critical","radio/tv",1934,"> 7 yrs","single male",2,26,"own",2
27,"fully repaid","business",8318,"> 7 yrs","female",4,42,"for free",2
6,"critical","radio/tv",1237,"1 - 4 yrs","female",1,27,"own",2
6,"repaid","radio/tv",368,"> 7 yrs","single male",4,38,"own",1
12,"critical","car (new)",2122,"1 - 4 yrs","single male",2,39,"rent",2
24,"repaid","furniture",2996,"1 - 4 yrs","married male",4,20,"own",1
36,"repaid","furniture",9034,"0 - 1 yrs","single male",1,29,"rent",1
24,"critical","furniture",1585,"4 - 7 yrs","single male",3,40,"own",2
18,"repaid","radio/tv",1301,"> 7 yrs","married male",2,32,"own",1
6,"critical","car (new)",1323,"> 7 yrs","divorced male",4,28,"own",2
24,"repaid","car (new)",3123,"0 - 1 yrs","female",1,27,"own",1
36,"repaid","car (used)",5493,"> 7 yrs","single male",4,42,"for free",1
9,"repaid","radio/tv",1126,"> 7 yrs","divorced male",4,49,"own",1
24,"critical","radio/tv",1216,"0 - 1 yrs","single male",4,38,"own",2
24,"repaid","car (new)",1207,"0 - 1 yrs","female",4,24,"rent",1
10,"repaid","car (new)",1309,"1 - 4 yrs","single male",4,27,"own",1
15,"critical","car (used)",2360,"1 - 4 yrs","single male",2,36,"own",1
15,"fully repaid","car (new)",6850,"unemployed","single male",2,34,"own",1
24,"repaid","radio/tv",1413,"1 - 4 yrs","married male",2,28,"own",1
39,"repaid","car (used)",8588,"> 7 yrs","single male",2,45,"own",1
12,"repaid","car (new)",759,"4 - 7 yrs","single male",2,26,"own",1
36,"repaid","car (used)",4686,"1 - 4 yrs","single male",2,32,"for free",1
15,"repaid","business",2687,"4 - 7 yrs","single male",4,26,"rent",1
12,"delayed","radio/tv",585,"1 - 4 yrs","married male",4,20,"rent",2
24,"repaid","car (new)",2255,"0 - 1 yrs","single male",1,54,"own",1
6,"critical","car (new)",609,"4 - 7 yrs","female",3,37,"own",2
6,"critical","car (new)",1361,"0 - 1 yrs","single male",4,40,"own",1
36,"critical","furniture",7127,"0 - 1 yrs","female",4,23,"rent",2
6,"repaid","car (new)",1203,"> 7 yrs","single male",2,43,"own",1
6,"critical","radio/tv",700,"> 7 yrs","single male",4,36,"for free",2
24,"critical","repairs",5507,"> 7 yrs","single male",4,44,"for free",2
18,"repaid","radio/tv",3190,"1 - 4 yrs","female",2,24,"own",1
48,"fully repaid","furniture",7119,"1 - 4 yrs","single male",4,53,"for free",2
24,"repaid","car (used)",3488,"4 - 7 yrs","female",4,23,"own",1
18,"repaid","radio/tv",1113,"1 - 4 yrs","female",4,26,"own",1
26,"repaid","car (used)",7966,"0 - 1 yrs","single male",3,30,"own",2
15,"critical","education",1532,"1 - 4 yrs","female",3,31,"own",1
4,"critical","radio/tv",1503,"4 - 7 yrs","single male",1,42,"own",2
36,"repaid","radio/tv",2302,"1 - 4 yrs","divorced male",4,31,"rent",1
6,"repaid","car (new)",662,"0 - 1 yrs","single male",4,41,"own",1
36,"repaid","education",2273,"4 - 7 yrs","single male",1,32,"own",2
15,"repaid","car (new)",2631,"1 - 4 yrs","female",4,28,"rent",2
12,"delayed","car (used)",1503,"1 - 4 yrs","married male",4,41,"rent",1
24,"repaid","radio/tv",1311,"4 - 7 yrs","married male",3,26,"own",1
24,"repaid","radio/tv",3105,"0 - 1 yrs","single male",2,25,"own",2
21,"critical","education",2319,"0 - 1 yrs","divorced male",1,33,"rent",1
6,"repaid","car (new)",1374,"unemployed","female",3,75,"own",1
18,"critical","furniture",3612,"> 7 yrs","female",4,37,"own",1
48,"repaid","car (new)",7763,"> 7 yrs","single male",4,42,"for free",1
18,"repaid","furniture",3049,"0 - 1 yrs","female",1,45,"own",1
12,"repaid","radio/tv",1534,"0 - 1 yrs","married male",1,23,"rent",1
24,"delayed","car (new)",2032,"> 7 yrs","single male",4,60,"for free",2
30,"repaid","furniture",6350,"> 7 yrs","single male",4,31,"own",1
18,"repaid","furniture",2864,"1 - 4 yrs","single male",1,34,"own",1
12,"critical","car (new)",1255,"> 7 yrs","single male",4,61,"own",2
24,"delayed","car (new)",1333,"unemployed","single male",2,43,"for free",2
24,"critical","car (new)",2022,"1 - 4 yrs","female",4,37,"own",1
24,"repaid","radio/tv",1552,"4 - 7 yrs","single male",1,32,"own",1
12,"fully repaid","radio/tv",626,"1 - 4 yrs","female",4,24,"own",1
48,"critical","car (used)",8858,"4 - 7 yrs","single male",1,35,"for free",2
12,"critical","repairs",996,"4 - 7 yrs","female",4,23,"own",2
6,"fully repaid","radio/tv",1750,"> 7 yrs","single male",4,45,"own",1
48,"repaid","radio/tv",6999,"4 - 7 yrs","married male",1,34,"own",2
12,"critical","car (new)",1995,"0 - 1 yrs","single male",1,27,"own",1
9,"repaid","education",1199,"4 - 7 yrs","female",4,67,"own",2
12,"repaid","radio/tv",1331,"0 - 1 yrs","single male",1,22,"own",1
18,"fully repaid","car (new)",2278,"0 - 1 yrs","female",3,28,"own",2
21,"fully repaid","car (new)",5003,"1 - 4 yrs","female",4,29,"own",2
24,"fully repaid","furniture",3552,"4 - 7 yrs","single male",4,27,"own",1
18,"critical","furniture",1928,"0 - 1 yrs","single male",2,31,"own",2
24,"repaid","car (used)",2964,"> 7 yrs","single male",4,49,"for free",1
24,"fully repaid","radio/tv",1546,"4 - 7 yrs","single male",4,24,"rent",1
6,"delayed","radio/tv",683,"0 - 1 yrs","female",1,29,"own",1
36,"repaid","car (new)",12389,"1 - 4 yrs","single male",4,37,"for free",1
24,"delayed","business",4712,"1 - 4 yrs","single male",2,37,"own",2
24,"delayed","radio/tv",1553,"4 - 7 yrs","female",2,23,"rent",2
12,"repaid","car (new)",1372,"4 - 7 yrs","divorced male",3,36,"own",1
24,"critical","radio/tv",2578,"> 7 yrs","single male",2,34,"own",1
48,"repaid","radio/tv",3979,"4 - 7 yrs","single male",1,41,"own",2
48,"repaid","radio/tv",6758,"1 - 4 yrs","female",2,31,"own",1
24,"repaid","furniture",3234,"0 - 1 yrs","female",4,23,"rent",1
30,"critical","radio/tv",5954,"4 - 7 yrs","single male",2,38,"own",1
24,"repaid","car (used)",5433,"unemployed","female",4,26,"rent",1
15,"repaid","business",806,"1 - 4 yrs","female",4,22,"own",1
9,"repaid","radio/tv",1082,"> 7 yrs","single male",4,27,"own",2
15,"critical","furniture",2788,"4 - 7 yrs","female",3,24,"own",2
12,"repaid","radio/tv",2930,"4 - 7 yrs","female",1,27,"own",1
24,"critical","education",1927,"1 - 4 yrs","female",2,33,"own",2
36,"critical","car (new)",2820,"0 - 1 yrs","divorced male",4,27,"own",2
24,"repaid","retraining",937,"0 - 1 yrs","married male",3,27,"own",2
18,"critical","car (new)",1056,"> 7 yrs","single male",3,30,"own",2
12,"critical","car (new)",3124,"0 - 1 yrs","single male",3,49,"own",2
9,"repaid","furniture",1388,"1 - 4 yrs","female",2,26,"rent",1
36,"repaid","repairs",2384,"0 - 1 yrs","single male",1,33,"rent",1
12,"repaid","car (new)",2133,"> 7 yrs","female",4,52,"for free",1
18,"repaid","furniture",2039,"1 - 4 yrs","female",4,20,"rent",1
9,"critical","car (new)",2799,"1 - 4 yrs","single male",2,36,"rent",2
12,"repaid","furniture",1289,"1 - 4 yrs","single male",1,21,"own",1
18,"repaid","domestic appliances",1217,"1 - 4 yrs","married male",3,47,"own",1
12,"critical","furniture",2246,"> 7 yrs","single male",3,60,"own",2
12,"critical","radio/tv",385,"4 - 7 yrs","female",3,58,"own",4
24,"delayed","car (new)",1965,"1 - 4 yrs","female",4,42,"rent",2
21,"repaid","business",1572,"> 7 yrs","female",4,36,"own",1
24,"repaid","car (new)",2718,"1 - 4 yrs","female",4,20,"rent",1
24,"fully repaid","others",1358,"> 7 yrs","single male",3,40,"own",1
6,"fully repaid","car (new)",931,"0 - 1 yrs","female",1,32,"own",1
24,"repaid","car (new)",1442,"4 - 7 yrs","female",4,23,"rent",2
24,"fully repaid","business",4241,"1 - 4 yrs","single male",4,36,"own",3
18,"critical","car (new)",2775,"4 - 7 yrs","single male",2,31,"own",2
24,"delayed","business",3863,"1 - 4 yrs","single male",2,32,"for free",1
7,"repaid","radio/tv",2329,"0 - 1 yrs","female",1,45,"own",1
9,"repaid","furniture",918,"1 - 4 yrs","female",1,30,"own",1
24,"fully repaid","education",1837,"4 - 7 yrs","female",4,34,"for free",1
36,"repaid","furniture",3349,"1 - 4 yrs","female",2,28,"own",1
10,"repaid","furniture",1275,"0 - 1 yrs","female",2,23,"own",1
24,"fully repaid","furniture",2828,"1 - 4 yrs","single male",4,22,"own",1
24,"critical","business",4526,"1 - 4 yrs","single male",2,74,"own",1
36,"repaid","radio/tv",2671,"1 - 4 yrs","female",4,50,"for free",1
18,"repaid","radio/tv",2051,"0 - 1 yrs","single male",1,33,"own",1
15,"repaid","car (used)",1300,"> 7 yrs","single male",4,45,"for free",1
12,"repaid","domestic appliances",741,"unemployed","female",3,22,"own",1
10,"repaid","car (new)",1240,"> 7 yrs","female",4,48,"for free",1
21,"repaid","radio/tv",3357,"0 - 1 yrs","female",2,29,"own",1
24,"fully repaid","car (used)",3632,"1 - 4 yrs","female",4,22,"rent",1
18,"delayed","furniture",1808,"4 - 7 yrs","female",1,22,"own",1
48,"fully repaid","business",12204,"1 - 4 yrs","single male",2,48,"own",1
60,"delayed","radio/tv",9157,"1 - 4 yrs","single male",2,27,"for free",1
6,"critical","car (new)",3676,"1 - 4 yrs","single male",3,37,"rent",3
30,"repaid","furniture",3441,"1 - 4 yrs","female",4,21,"rent",1
12,"repaid","car (new)",640,"1 - 4 yrs","divorced male",2,49,"own",1
21,"critical","business",3652,"4 - 7 yrs","single male",3,27,"own",2
18,"critical","car (new)",1530,"1 - 4 yrs","single male",2,32,"own",2
48,"repaid","business",3914,"1 - 4 yrs","divorced male",2,38,"own",1
12,"repaid","furniture",1858,"0 - 1 yrs","female",1,22,"rent",1
18,"repaid","radio/tv",2600,"1 - 4 yrs","single male",4,65,"for free",2
15,"repaid","radio/tv",1979,"> 7 yrs","single male",2,35,"own",1
6,"repaid","furniture",2116,"1 - 4 yrs","single male",2,41,"own",1
9,"fully repaid","car (new)",1437,"4 - 7 yrs","single male",3,29,"own",1
42,"critical","furniture",4042,"1 - 4 yrs","single male",4,36,"own",2
9,"repaid","education",3832,"> 7 yrs","single male",4,64,"own",1
24,"repaid","radio/tv",3660,"1 - 4 yrs","female",4,28,"own",1
18,"fully repaid","furniture",1553,"1 - 4 yrs","single male",3,44,"own",1
15,"repaid","radio/tv",1444,"0 - 1 yrs","single male",1,23,"own",1
9,"repaid","furniture",1980,"0 - 1 yrs","female",2,19,"rent",2
24,"repaid","car (new)",1355,"0 - 1 yrs","female",4,25,"own",1
12,"repaid","education",1393,"> 7 yrs","single male",4,47,"own",3
24,"repaid","radio/tv",1376,"4 - 7 yrs","female",1,28,"own",1
60,"delayed","radio/tv",15653,"4 - 7 yrs","single male",4,21,"own",2
12,"repaid","radio/tv",1493,"0 - 1 yrs","female",3,34,"own",1
42,"delayed","radio/tv",4370,"4 - 7 yrs","single male",2,26,"own",2
18,"repaid","education",750,"unemployed","female",1,27,"own",1
15,"repaid","repairs",1308,"> 7 yrs","single male",4,38,"own",2
15,"repaid","education",4623,"1 - 4 yrs","single male",2,40,"own",1
24,"critical","radio/tv",1851,"4 - 7 yrs","married male",2,33,"own",2
18,"critical","radio/tv",1880,"4 - 7 yrs","married male",1,32,"own",2
36,"delayed","business",7980,"0 - 1 yrs","single male",4,27,"rent",2
30,"fully repaid","furniture",4583,"1 - 4 yrs","divorced male",2,32,"own",2
12,"repaid","car (new)",1386,"1 - 4 yrs","female",2,26,"own",1
24,"repaid","car (new)",947,"4 - 7 yrs","single male",3,38,"for free",1
12,"repaid","education",684,"1 - 4 yrs","single male",4,40,"rent",1
48,"repaid","education",7476,"4 - 7 yrs","single male",1,50,"for free",1
12,"repaid","furniture",1922,"1 - 4 yrs","single male",2,37,"own",1
24,"repaid","car (new)",2303,"> 7 yrs","single male",1,45,"own",1
36,"delayed","car (new)",8086,"> 7 yrs","single male",4,42,"own",4
24,"critical","car (used)",2346,"4 - 7 yrs","single male",3,35,"own",2
14,"repaid","car (new)",3973,"unemployed","single male",4,22,"for free",1
12,"repaid","car (new)",888,"> 7 yrs","single male",4,41,"own",1
48,"repaid","radio/tv",10222,"4 - 7 yrs","single male",3,37,"own",1
30,"fully repaid","business",4221,"1 - 4 yrs","female",1,28,"own",2
18,"critical","furniture",6361,"> 7 yrs","single male",1,41,"own",1
12,"repaid","radio/tv",1297,"1 - 4 yrs","married male",4,23,"rent",1
12,"repaid","car (new)",900,"1 - 4 yrs","married male",2,23,"own",1
21,"repaid","furniture",2241,"> 7 yrs","single male",2,50,"own",2
6,"delayed","furniture",1050,"unemployed","single male",1,35,"own",2
6,"critical","education",1047,"1 - 4 yrs","female",4,50,"own",1
24,"critical","others",6314,"unemployed","single male",2,27,"own",2
